movie_title,movie_ratings,movie_genre
Avengers: Endgame (2019), 66122,/Action & Adventure/Drama/Science Fiction & Fantasy
Us (2019), 10953,/Horror/Mystery & Suspense
Toy Story 4 (2019), 53112,/Animation/Comedy/Kids & Family/Science Fiction & Fantasy
The Farewell (2019), 2482,/Comedy/Drama
Booksmart (2019), 4111,/Comedy
If Beale Street Could Talk (2019), 2290,/Drama/Romance
Parasite (Gisaengchung) (2019), 485,/Art House & International/Drama
Spider-Man: Far From Home (2019), 69196,/Action & Adventure/Science Fiction & Fantasy
Once Upon a Time In Hollywood (2019), 26137,/Comedy/Drama
Shazam! (2019), 15252,/Action & Adventure/Science Fiction & Fantasy
Pain and Glory (Dolor y gloria) (2019), 155,/Drama
Apollo 11 (2019), 799,/Documentary
They Shall Not Grow Old (2019), 1914,/Art House & International/Documentary
Rocketman (2019), 21644,/Drama
John Wick: Chapter 3 - Parabellum (2019), 36915,/Action & Adventure/Drama
Ash Is Purest White (2019), 126,/Drama/Romance
Amazing Grace (2019), 264,/Documentary/Musical & Performing Arts
Dolemite Is My Name (2019), 106,/Drama
The Lighthouse (2019), 879,/Drama/Horror/Science Fiction & Fantasy
Knock Down the House (2019), 2682,/Documentary
Birds of Passage (Pajaros de verano) (2019), 409,/Drama
Maiden (2019), 213,/Documentary
How to Train Your Dragon: The Hidden World (2019), 55674,/Action & Adventure/Animation/Kids & Family
One Cut of the Dead (Kamera o tomeru na!) (2019), 56,/Art House & International/Comedy/Horror
The Peanut Butter Falcon (2019), 4669,/Action & Adventure/Drama
Stan & Ollie (2019), 1830,/Comedy/Drama
Captain Marvel (2019), 92943,/Action & Adventure/Science Fiction & Fantasy
Honeyland (2019), 85,/Documentary
For Sama (2019), 36,/Documentary
Marriage Story (2019), Not yet available,/Drama
One Child Nation (2019), 34,/Documentary
Knives Out (2019), Not yet available,/Drama/Mystery & Suspense
The Irishman (2019), Not yet available,/Drama/Mystery & Suspense
The Chambermaid (La camarista) (2019), 39,/Art House & International/Drama
3 Faces (2019), 29,/Art House & International/Drama
Hustlers (2019), 16419,/Drama
Fighting with My Family (2019), 3292,/Comedy
The Last Black Man in San Francisco (2019), 505,/Drama
Portrait of a Lady on Fire (Portrait de la jeune fille en feu) (2019), Not yet available,/Drama
Woman at War (Kona fer i stri©£) (2019), 132,/Action & Adventure/Art House & International/Mystery & Suspense
Chained for Life (2019), 18,/Drama
Tigers Are Not Afraid (Vuelven) (2019), 175,/Art House & International/Drama/Horror/Science Fiction & Fantasy
Ad Astra (2019), 10056,/Mystery & Suspense/Science Fiction & Fantasy
Hail Satan? (2019), 237,/Documentary
Transit (2019), 113,/Art House & International/Drama
Wild Rose (2019), 168,/Comedy/Drama
Ready or Not (2019), 5329,/Horror/Mystery & Suspense
The Heiresses (Las Herederas) (2019), 266,/Drama
Blinded by the Light (2019), 2632,/Comedy/Drama
Gloria Bell (2019), 516,/Comedy/Romance
Deadwood: The Movie (2019), Not yet available,/Drama/Western
Love, Antosha (2019), 34,/Documentary
Too Late to Die Young (Tarde para morir joven) (2019), 8,/Art House & International/Drama
Little Woods (2019), 169,/Drama
Varda by Agnes (2019), Not yet available,/Documentary
Midsommar (2019), 5220,/Horror
American Factory (2019), 172,/Documentary
Rojo (2019), 18,/Drama/Mystery & Suspense
A Beautiful Day in the Neighborhood (2019), Not yet available,/Drama
Honey Boy (2019), Not yet available,/Drama
Homecoming: A Film by Beyonce (2019), Not yet available,/Documentary/Musical & Performing Arts
The Mustang (2019), 343,/Drama
First Love (Hatsukoi) (2019), 30,/Action & Adventure/Drama/Mystery & Suspense
Toni Morrison: The Pieces I Am (2019), 47,/Documentary
Be Natural: The Untold Story of Alice Guy-Blache (2019), 156,/Documentary
By the Grace of God (Grace a Dieu) (2019), 6,/Drama
Shadow (2019), 244,/Action & Adventure/Art House & International/Drama
The LEGO Movie 2: The Second Part (2019), 28207,/Animation/Comedy
The Kid Who Would Be King (2019), 1261,/Action & Adventure/Kids & Family/Science Fiction & Fantasy
In Fabric (2019), Not yet available,/Comedy/Horror
Monos (2019), 32,/Drama
Luce (2019), 283,/Drama/Mystery & Suspense
Harpoon (2019), 17,/Art House & International/Comedy/Horror
Atlantics (2019), Not yet available,/Drama/Romance
Ray & Liz (2019), Not yet available,/Art House & International/Drama
Mike Wallace Is Here (2019), 7,/Documentary
The Souvenir (2019), 395,/Drama
The Wild Pear Tree (Ahlat agaci) (2019), 294,/Drama
Ask Dr. Ruth (2019), 46,/Documentary
Diane (2019), 52,/Drama
Sword of Trust (2019), 105,/Drama
Rafiki (2019), 33,/Art House & International/Drama
High Flying Bird (2019), Not yet available,/Drama
Echo In the Canyon (2019), 336,/Documentary
Long Day's Journey Into Night (Di qiu zui hou de ye wan) (2019), 65,/Art House & International/Drama/Mystery & Suspense
Judy (2019), 5409,/Drama/Musical & Performing Arts
Missing Link (2019), 556,/Action & Adventure/Animation/Comedy
Miles Davis: Birth of the Cool (2019), 7,/Documentary
David Crosby: Remember My Name (2019), 60,/Documentary
Raise Hell: The Life & Times of Molly Ivins (2019), 33,/Documentary
Uncut Gems (2019), Not yet available,/Drama
Brittany Runs a Marathon (2019), 1332,/Comedy/Drama
El Camino: A Breaking Bad Movie (2019), 3708,/Drama/Mystery & Suspense/Television
Giant Little Ones (2019), 146,/Drama
Arctic (2019), 1658,/Drama
Rolling Thunder Revue: A Bob Dylan Story By Martin Scorsese (2019), Not yet available,/Documentary
Downton Abbey (2019), 19561,/Drama
An Elephant Sitting Still (Da xiang xi di er zuo) (2019), 83,/Art House & International/Drama
Disneynature: Penguins (2019), 156,/Documentary
Long Shot (2019), 3889,/Comedy
